,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
117,Sisimiut,GL,2022-06-18 05:21:14,66.9395,-53.6735,34.66,99,100,2.48
118,Segou,ML,2022-06-18 05:21:15,13.4317,-6.2157,80.28,66,76,10.63
119,Port Lincoln,AU,2022-06-18 05:21:15,-34.7333,135.8667,64.15,54,22,15.12
120,Bredasdorp,ZA,2022-06-18 05:21:15,-34.5322,20.0403,55.45,90,97,12.97
121,San Miguel,SV,2022-06-18 05:21:16,13.4833,-88.1833,74.86,100,75,2.3
122,Abu Kamal,SY,2022-06-18 05:21:16,34.4506,40.9171,96.15,16,0,4.07
123,Manta,EC,2022-06-18 05:21:16,-0.95,-80.7333,71.38,83,75,4.61
124,Portland,US,2022-06-18 05:17:56,45.5234,-122.6762,56.61,92,100,0.0
125,Jardim,BR,2022-06-18 05:21:17,-21.4803,-56.1381,57.54,92,35,6.67
126,Podporozhye,RU,2022-06-18 05:21:17,60.9112,34.1706,48.0,96,100,4.07
127,Abu Dhabi,AE,2022-06-18 05:21:11,24.4667,54.3667,93.31,75,0,5.75
128,Airai,TL,2022-06-18 05:21:17,-8.9266,125.4092,72.64,58,17,4.41
129,Cachoeira Do Sul,BR,2022-06-18 05:21:18,-30.0392,-52.8939,44.55,95,0,5.79
130,Tomatlan,MX,2022-06-18 05:21:18,19.9333,-105.25,79.77,73,97,7.07
131,Alamosa,US,2022-06-18 05:21:18,37.4695,-105.87,60.78,59,100,5.75
132,Bambous Virieux,MU,2022-06-18 05:21:19,-20.3428,57.7575,76.21,88,20,3.44
133,Svetlogorsk,BY,2022-06-18 05:21:19,52.6333,29.7333,58.32,81,3,6.33
134,Lebanon,US,2022-06-18 05:16:31,36.2081,-86.2911,78.85,85,89,3.38
135,Maryville,US,2022-06-18 05:21:19,35.7565,-83.9705,73.17,93,0,4.61
136,Tiffin,US,2022-06-18 05:21:20,41.1145,-83.178,70.0,61,0,14.97
137,Constitucion,CL,2022-06-18 05:21:20,-35.3333,-72.4167,49.35,84,87,7.52
138,Adrar,MR,2022-06-18 05:21:21,20.5022,-10.0711,89.4,31,99,12.1
139,Koumac,NC,2022-06-18 05:21:21,-20.5667,164.2833,78.17,75,100,4.09
140,East London,ZA,2022-06-18 05:21:21,-33.0153,27.9116,61.74,41,0,6.91
141,Kjollefjord,NO,2022-06-18 05:21:22,70.9457,27.3465,42.85,87,100,5.75
142,Chincholi,IN,2022-06-18 05:21:22,17.4667,77.4333,88.65,53,99,10.63
143,Dhidhdhoo,MV,2022-06-18 05:21:23,6.8833,73.1,82.09,77,100,9.26
144,La Rioja,ES,2022-06-18 05:21:23,42.25,-2.5,62.38,40,50,6.76
145,Valdemarpils,LV,2022-06-18 05:21:23,57.3707,22.5919,60.06,78,100,11.56
146,Lazurne,UA,2022-06-18 05:21:24,46.084,32.5295,66.61,76,98,9.71
147,Plettenberg Bay,ZA,2022-06-18 05:21:24,-34.0527,23.3716,60.04,39,57,8.68
148,Kodiak,US,2022-06-18 05:21:24,57.79,-152.4072,54.91,76,100,5.75
149,Kupang,ID,2022-06-18 05:21:25,-10.1667,123.5833,87.42,57,38,8.28
150,Siverek,TR,2022-06-18 05:21:25,37.755,39.3167,84.79,20,0,3.87
151,Fuerte,PH,2022-06-18 05:21:26,17.5381,120.3644,94.1,70,51,5.44
152,Torbay,CA,2022-06-18 05:21:26,47.6666,-52.7314,49.87,79,40,16.11
153,Alihe,CN,2022-06-18 05:21:27,50.5667,123.7167,79.45,29,41,2.66
154,Iqaluit,CA,2022-06-18 05:21:27,63.7506,-68.5145,37.13,81,75,13.8
155,Raudeberg,NO,2022-06-18 05:21:27,61.9875,5.1352,50.67,82,5,30.09
156,Wasilla,US,2022-06-18 05:21:13,61.5814,-149.4394,57.06,68,100,5.75
157,Cockburn Town,TC,2022-06-18 05:19:45,21.4612,-71.1419,81.3,79,92,16.44
158,Uyemskiy,RU,2022-06-18 05:21:28,64.4743,40.8524,48.25,93,100,4.47
159,Lorengau,PG,2022-06-18 05:21:28,-2.0226,147.2712,84.29,70,68,12.1
160,Pevek,RU,2022-06-18 05:21:29,69.7008,170.3133,38.55,70,85,8.48
161,Lagoa,PT,2022-06-18 05:21:29,39.05,-27.9833,65.1,89,4,10.92
162,Saint-Francois,FR,2022-06-18 05:21:30,46.4154,3.9054,63.68,94,0,3.44
163,Saint-Pierre,RE,2022-06-18 05:21:30,-21.3393,55.4781,71.91,78,100,4.61
164,Ornskoldsvik,SE,2022-06-18 05:21:31,63.2909,18.7153,52.3,99,100,5.06
165,Port Hardy,CA,2022-06-18 05:21:31,50.6996,-127.4199,55.58,71,100,4.61
166,Angoram,PG,2022-06-18 05:21:31,-4.0625,144.0661,83.3,79,95,4.99
167,Hasaki,JP,2022-06-18 05:21:32,35.7333,140.8333,79.2,84,100,18.5
168,Labuhan,ID,2022-06-18 05:21:32,-6.8844,112.2051,85.75,65,87,1.99
169,Nikolskoye,RU,2022-06-18 05:21:32,59.7035,30.7861,58.87,72,79,5.61
170,Te Anau,NZ,2022-06-18 05:21:33,-45.4167,167.7167,42.84,92,45,4.54
171,Longyearbyen,SJ,2022-06-18 05:21:33,78.2186,15.6401,40.84,70,75,9.22
172,Reconquista,AR,2022-06-18 05:21:33,-29.15,-59.65,47.43,49,0,4.83
173,Morondava,MG,2022-06-18 05:21:33,-20.2833,44.2833,65.25,51,0,7.99
174,Palana,RU,2022-06-18 05:21:34,59.1167,159.9667,39.69,97,100,11.68
175,Hofn,IS,2022-06-18 05:21:34,64.2539,-15.2082,48.87,76,98,20.29
176,Mashivka,UA,2022-06-18 05:21:34,49.4431,34.8669,60.19,84,100,7.74
177,Lata,PT,2022-06-18 05:21:35,40.1629,-8.3327,57.38,94,100,0.92
178,Boffa,GN,2022-06-18 05:21:35,10.1667,-14.0333,72.5,95,100,5.68
179,Norman Wells,CA,2022-06-18 05:21:36,65.282,-126.8329,64.44,45,20,9.22
180,Marion,US,2022-06-18 05:21:36,39.7684,-86.1555,73.04,52,0,8.05
181,Talnakh,RU,2022-06-18 05:21:36,69.4865,88.3972,56.35,52,1,12.53
182,Tuatapere,NZ,2022-06-18 05:21:37,-46.1333,167.6833,44.56,86,100,5.39
183,Miramar,US,2022-06-18 05:21:37,25.9873,-80.2323,82.02,77,0,6.91
184,Buchanan,LR,2022-06-18 05:21:37,5.8808,-10.0467,76.6,80,100,9.4
185,Gabas,PH,2022-06-18 05:21:38,10.7297,124.7961,88.68,62,26,2.75
186,Luderitz,NA,2022-06-18 05:21:38,-26.6481,15.1594,55.8,71,8,3.71
187,Vostok,RU,2022-06-18 05:21:38,46.4856,135.8833,62.69,87,92,6.98
188,Sinnamary,GF,2022-06-18 05:21:39,5.3833,-52.95,75.97,88,82,5.39
189,Bilibino,RU,2022-06-18 05:21:39,68.0546,166.4372,65.95,22,70,11.1
190,Henties Bay,NA,2022-06-18 05:21:39,-22.116,14.2845,55.72,89,0,7.83
191,Vestmannaeyjar,IS,2022-06-18 05:20:54,63.4427,-20.2734,49.71,79,96,33.13
192,Twentynine Palms,US,2022-06-18 05:21:40,34.1356,-116.0542,80.74,22,0,8.32
193,Solyanka,RU,2022-06-18 05:21:40,46.3889,48.0176,76.95,41,0,4.47
194,Graham,US,2022-06-18 05:21:41,47.0529,-122.2943,53.82,92,100,6.91
195,Olafsvik,IS,2022-06-18 05:21:41,64.8945,-23.7142,45.0,85,61,23.51
196,Rudbar,AF,2022-06-18 05:21:42,30.15,62.6,93.69,11,0,27.96
197,Souillac,MU,2022-06-18 05:21:42,-20.5167,57.5167,71.98,88,20,3.44
198,Tamazunchale,MX,2022-06-18 05:21:42,21.2667,-98.7833,69.12,97,38,2.82
199,Prince Albert,CA,2022-06-18 05:21:43,53.2001,-105.7677,66.15,68,100,19.57
